Date,inventory_levels,Gain/loss,disaster,Pest,Theft
19/02/2021,264,-22,0,0,0
20/02/2021,242,200,0,0,0
21/02/2021,442,-22,0,0,0
22/02/2021,420,-29,0,0,0
23/02/2021,391,-26,0,0,0
24/02/2021,365,-22,0,0,0
25/02/2021,343,-34,0,0,0
26/02/2021,309,-29,0,0,0
27/02/2021,280,150,0,0,0
28/02/2021,430,-31,0,0,0
01/03/2021,399,-23,0,0,0
02/03/2021,376,10,0,2,0
03/03/2021,386,-25,0,0,0
04/03/2021,361,-15,0,0,0
05/03/2021,346,-26,0,0,0
06/03/2021,320,150,0,0,0
07/03/2021,470,-28,0,0,0
08/03/2021,442,-18,0,0,0
09/03/2021,424,-19,0,0,0
10/03/2021,405,-29,0,0,0
11/03/2021,376,-10,0,0,0
12/03/2021,366,-11,0,0,0
13/03/2021,355,100,0,0,0
14/03/2021,455,-20,0,0,0
15/03/2021,435,-14,0,0,0
16/03/2021,421,-24,0,0,0
17/03/2021,397,-21,0,0,0
18/03/2021,376,-27,0,0,0
19/03/2021,349,-17,0,0,0
20/03/2021,332,100,0,0,0
21/03/2021,432,-11,0,0,0
22/03/2021,421,-34,0,0,0
23/03/2021,387,-14,0,0,0
24/03/2021,373,-10,0,0,0
25/03/2021,363,-26,0,0,0
26/03/2021,337,-29,0,0,0
27/03/2021,308,100,0,0,0
28/03/2021,408,-28,0,0,0
29/03/2021,380,-19,0,0,0
30/03/2021,361,-20,0,0,0
31/03/2021,341,-14,0,0,0
01/04/2021,327,-10,0,0,0
02/04/2021,317,-20,0,0,0
03/04/2021,297,100,0,0,0
04/04/2021,397,-9,0,0,0
05/04/2021,388,-6,0,0,0
06/04/2021,382,-15,0,0,0
07/04/2021,367,-10,0,0,0
08/04/2021,357,-16,0,0,0
09/04/2021,341,-46,0,1,1
10/04/2021,295,100,0,0,0
11/04/2021,395,-22,0,0,0
12/04/2021,373,-10,0,0,0
13/04/2021,363,-22,0,0,0
14/04/2021,341,-19,0,0,0
15/04/2021,322,-12,0,0,0
16/04/2021,310,-7,0,0,0
17/04/2021,303,100,0,0,0
18/04/2021,403,-13,0,0,0
19/04/2021,390,-8,0,0,0
20/04/2021,382,-21,0,0,0
21/04/2021,361,-22,0,0,0
22/04/2021,339,-10,0,0,0
23/04/2021,329,-33,0,0,0
24/04/2021,296,100,0,0,0
25/04/2021,396,-31,0,0,0
26/04/2021,365,-16,0,0,0
27/04/2021,349,-15,0,0,0
28/04/2021,334,-17,0,0,0
29/04/2021,317,-7,0,0,0
30/04/2021,310,-20,0,0,0
01/05/2021,290,100,0,0,0
02/05/2021,390,-6,0,0,0
03/05/2021,384,-22,0,0,0
04/05/2021,362,-12,0,0,0
05/05/2021,350,-13,0,0,0
06/05/2021,337,-17,0,0,0
07/05/2021,320,-11,0,0,0
08/05/2021,309,100,0,0,0
09/05/2021,409,-13,0,0,0
10/05/2021,396,-5,0,0,0
11/05/2021,391,-18,0,0,0
12/05/2021,373,-8,0,0,0
13/05/2021,365,-11,0,0,0
14/05/2021,354,-16,0,0,0
15/05/2021,338,100,0,0,0
16/05/2021,438,-17,0,0,0
17/05/2021,421,-7,0,0,0
18/05/2021,414,-24,0,0,0
19/05/2021,390,-13,0,0,0
20/05/2021,377,-10,0,0,0
21/05/2021,367,-38,0,0,0
22/05/2021,329,100,0,0,0
23/05/2021,429,-9,0,0,0
24/05/2021,420,-4,0,0,0
25/05/2021,416,-4,0,0,0
26/05/2021,412,-44,0,0,2
27/05/2021,368,-6,0,0,0
28/05/2021,362,-23,0,0,0
29/05/2021,339,100,0,0,0
30/05/2021,439,-13,0,0,0
31/05/2021,426,-10,0,0,0
01/06/2021,416,-28,3,0,0
02/06/2021,388,-23,0,0,0
03/06/2021,365,-13,0,0,0
04/06/2021,352,-20,0,0,0
05/06/2021,332,100,0,0,0
06/06/2021,432,-13,0,0,0
07/06/2021,419,-16,0,0,0
08/06/2021,403,-7,0,0,0
09/06/2021,396,-21,0,0,0
10/06/2021,375,-11,0,0,0
11/06/2021,364,-26,0,0,0
12/06/2021,338,100,0,0,0
13/06/2021,438,-20,0,0,0
14/06/2021,418,-26,0,0,0
15/06/2021,392,-17,0,0,0
16/06/2021,375,-20,0,0,0
17/06/2021,355,-9,0,0,0
18/06/2021,346,-23,0,0,0
19/06/2021,323,100,0,0,0
20/06/2021,423,-10,0,0,0
21/06/2021,413,-27,0,0,0
22/06/2021,386,-9,0,0,0
23/06/2021,377,-22,0,0,0
24/06/2021,355,-24,0,0,0
25/06/2021,331,-16,0,0,0
26/06/2021,315,-9,0,0,0
27/06/2021,306,100,0,0,0
28/06/2021,406,-13,0,0,0
29/06/2021,393,-7,0,0,0
30/06/2021,386,-12,0,0,0
01/07/2021,374,-28,0,0,0
02/07/2021,346,-18,0,0,0
03/07/2021,328,100,0,0,0
04/07/2021,428,-13,0,0,0
05/07/2021,415,-13,0,0,0
06/07/2021,402,-16,0,0,0
07/07/2021,386,-21,0,0,0
08/07/2021,365,-23,0,0,0
09/07/2021,342,-25,0,0,0
10/07/2021,317,100,0,0,0
11/07/2021,417,-18,0,0,0
12/07/2021,399,-20,0,0,0
13/07/2021,379,-13,0,0,0
14/07/2021,366,-69,2,0,0
15/07/2021,297,-11,0,0,0
16/07/2021,286,-17,0,0,0
17/07/2021,269,100,0,0,0
18/07/2021,369,-12,0,0,0
19/07/2021,357,-27,0,0,0
20/07/2021,330,-20,0,0,0
21/07/2021,310,-16,0,0,0
22/07/2021,294,-19,0,0,0
23/07/2021,275,-12,0,0,0
24/07/2021,263,150,0,0,0
25/07/2021,413,-18,0,0,0
26/07/2021,395,-34,0,0,0
27/07/2021,361,-12,0,0,0
28/07/2021,349,-15,0,0,0
29/07/2021,334,-9,0,0,0
30/07/2021,325,-20,0,0,0
31/07/2021,305,100,0,0,0
01/08/2021,405,-24,0,0,0
02/08/2021,381,-24,0,0,0
03/08/2021,357,-10,0,0,0
04/08/2021,347,-16,0,0,0
05/08/2021,331,-15,0,0,0
06/08/2021,316,-23,0,0,0
07/08/2021,293,100,0,0,0
08/08/2021,393,-6,0,0,0
09/08/2021,387,-13,0,0,0
10/08/2021,374,-26,0,0,0
11/08/2021,348,-10,0,0,0
12/08/2021,338,-24,0,0,0
13/08/2021,314,-10,0,0,0
14/08/2021,304,100,0,0,0
15/08/2021,404,-11,0,0,0
16/08/2021,393,-8,0,0,0
17/08/2021,385,-13,0,0,0
18/08/2021,372,-14,0,0,0
19/08/2021,358,-9,0,0,0
20/08/2021,349,-15,0,0,0
21/08/2021,334,100,0,0,0
22/08/2021,434,-18,0,0,0
23/08/2021,416,-11,0,0,0
24/08/2021,405,-26,0,0,0
25/08/2021,379,-21,0,0,0
26/08/2021,358,-13,0,0,0
27/08/2021,345,-30,0,0,3
28/08/2021,315,100,0,0,0
29/08/2021,415,-24,0,0,0
30/08/2021,391,-24,0,0,0
31/08/2021,367,-20,0,0,0
01/09/2021,347,-15,0,0,0
02/09/2021,332,0,0,1,0
03/09/2021,332,-8,0,0,0
04/09/2021,324,100,0,0,0
05/09/2021,424,-4,0,0,0
06/09/2021,420,-3,0,0,0
07/09/2021,417,-18,0,0,0
08/09/2021,399,-7,0,0,0
09/09/2021,392,-16,0,0,0
10/09/2021,376,-22,0,0,0
11/09/2021,354,100,0,0,0
12/09/2021,454,-17,0,0,0
13/09/2021,437,-1,0,0,0
14/09/2021,436,-19,0,0,0
15/09/2021,417,-20,0,0,0
16/09/2021,397,-11,0,0,0
17/09/2021,386,-19,0,0,0
18/09/2021,367,100,0,0,0
19/09/2021,467,-22,0,0,0
20/09/2021,445,-12,0,0,0
21/09/2021,433,-17,0,0,0
22/09/2021,416,-10,0,0,0
23/09/2021,406,-9,0,0,0
24/09/2021,397,-4,0,0,0
25/09/2021,393,0,0,1,0
26/09/2021,393,-9,0,0,0
27/09/2021,384,-21,0,0,0
28/09/2021,363,-9,0,0,0
29/09/2021,354,-19,0,0,0
30/09/2021,335,-5,0,0,0
01/10/2021,330,-15,0,0,0
02/10/2021,315,100,0,0,0
03/10/2021,415,-20,0,0,0
04/10/2021,395,-21,0,0,0
05/10/2021,374,-15,0,0,0
06/10/2021,359,-15,0,0,0
07/10/2021,344,-33,0,0,0
08/10/2021,311,-2,0,2,0
09/10/2021,309,100,0,0,0
10/10/2021,409,-15,0,0,0
11/10/2021,394,-21,0,0,0
12/10/2021,373,-28,0,0,0
13/10/2021,345,-17,0,0,0
14/10/2021,328,-30,0,0,0
15/10/2021,298,-30,0,0,0
16/10/2021,268,150,0,0,0
17/10/2021,418,-18,0,0,0
18/10/2021,400,-13,0,0,0
19/10/2021,387,-27,0,0,0
20/10/2021,360,-29,0,0,0
21/10/2021,331,-18,0,0,0
22/10/2021,313,-24,0,0,0
23/10/2021,289,150,0,0,0
24/10/2021,439,-24,0,0,0
25/10/2021,415,-12,0,0,0
26/10/2021,403,-25,0,0,0
27/10/2021,378,-26,0,0,0
28/10/2021,352,-27,0,0,0
29/10/2021,325,-11,0,0,0
30/10/2021,314,100,0,0,0
31/10/2021,414,-20,0,0,0
01/11/2021,394,-39,0,0,0
02/11/2021,355,-31,0,0,0
03/11/2021,324,-20,0,0,0
04/11/2021,304,-32,0,0,0
05/11/2021,272,-23,0,0,0
06/11/2021,249,200,0,0,0
07/11/2021,449,-23,0,0,0
08/11/2021,426,-28,0,0,0
09/11/2021,398,-36,0,0,0
10/11/2021,362,-27,0,0,0
11/11/2021,335,-37,0,0,0
12/11/2021,298,-19,0,0,0
13/11/2021,279,200,0,0,0
14/11/2021,479,-27,0,0,0
15/11/2021,452,-25,0,0,0
16/11/2021,427,-29,0,0,0
17/11/2021,398,-25,0,0,0
18/11/2021,373,-20,0,0,0
19/11/2021,353,-19,0,0,0
20/11/2021,334,200,0,0,0
21/11/2021,534,-38,0,0,0
22/11/2021,496,-39,0,0,0
23/11/2021,457,-21,0,0,0
24/11/2021,436,-36,0,0,0
25/11/2021,400,-72,0,3,0
26/11/2021,328,-23,0,0,0
27/11/2021,305,200,0,0,0
28/11/2021,505,-39,0,0,0
29/11/2021,466,-23,0,0,0
30/11/2021,443,-26,0,0,0
01/12/2021,417,-25,0,0,0
02/12/2021,392,-26,0,0,0
03/12/2021,366,-31,0,0,0
04/12/2021,335,150,0,0,0
05/12/2021,485,-23,0,0,0
06/12/2021,462,-22,0,0,0
07/12/2021,440,-42,0,0,1
08/12/2021,398,-23,0,0,0
09/12/2021,375,-32,0,0,0
10/12/2021,343,-35,0,0,0
11/12/2021,308,150,0,0,0
12/12/2021,458,-23,0,0,0
13/12/2021,435,-35,0,0,0
14/12/2021,400,-30,0,0,0
15/12/2021,370,-28,0,0,0
16/12/2021,342,-26,0,0,0
17/12/2021,316,-38,0,0,0
18/12/2021,278,200,0,0,0
19/12/2021,478,-23,0,0,0
20/12/2021,455,-35,0,0,0
21/12/2021,420,-23,0,0,0
22/12/2021,397,-32,0,0,0
23/12/2021,365,-23,0,0,0
24/12/2021,342,-34,0,0,0
25/12/2021,308,150,0,0,0
26/12/2021,458,-61,0,0,0
27/12/2021,397,-28,0,0,0
28/12/2021,369,-33,0,0,0
29/12/2021,336,-39,0,0,0
30/12/2021,297,150,0,0,0
31/12/2021,447,-67,0,0,1
01/01/2022,380,0,0,0,0
02/01/2022,380,-27,0,0,0
03/01/2022,353,-31,0,0,0
04/01/2022,322,-21,0,0,0
05/01/2022,301,-63,0,0,0
06/01/2022,238,-35,0,0,0
07/01/2022,203,-20,0,0,0
08/01/2022,183,200,0,0,0
09/01/2022,383,-27,0,0,0
10/01/2022,356,-16,0,0,0
11/01/2022,340,-28,0,0,0
12/01/2022,312,-24,0,0,0
13/01/2022,288,-34,0,1,1
14/01/2022,254,200,0,0,0
15/01/2022,454,-36,0,0,0
16/01/2022,418,-17,0,0,0
17/01/2022,401,-36,0,0,0
18/01/2022,365,-29,0,0,0
19/01/2022,336,-20,0,0,0
20/01/2022,316,-28,0,0,0
21/01/2022,288,200,0,0,0
22/01/2022,488,-29,0,0,0
23/01/2022,459,-16,0,0,0
24/01/2022,443,-16,0,0,0
25/01/2022,427,-33,0,0,0
26/01/2022,394,-36,0,0,0
27/01/2022,358,-30,0,0,0
28/01/2022,328,100,0,0,0
29/01/2022,428,-17,0,0,0
30/01/2022,411,-35,0,0,0
31/01/2022,376,-16,0,0,0
01/02/2022,360,-10,0,0,0
02/02/2022,350,-15,0,0,0
03/02/2022,335,-6,0,0,0
04/02/2022,329,100,0,0,0
05/02/2022,429,-11,0,0,0
06/02/2022,418,-8,0,0,0
07/02/2022,410,-12,0,0,0
08/02/2022,398,-22,0,0,0
09/02/2022,376,-48,0,0,1
10/02/2022,328,-10,0,0,0
11/02/2022,318,100,0,0,0
12/02/2022,418,-8,0,0,0
13/02/2022,410,-24,0,0,0
14/02/2022,386,-8,0,0,0
15/02/2022,378,-25,0,0,0
16/02/2022,353,-15,0,0,0
17/02/2022,338,-21,0,0,0
18/02/2022,317,100,0,0,0
19/02/2022,417,-9,0,0,0
20/02/2022,408,-10,0,0,0
21/02/2022,398,-12,0,0,0
22/02/2022,386,-15,0,0,0
23/02/2022,371,-14,0,0,0
24/02/2022,357,-20,0,0,0
25/02/2022,337,-23,0,0,0
26/02/2022,314,100,0,0,0
27/02/2022,414,-5,0,0,0
28/02/2022,409,-24,0,0,0
01/03/2022,385,-17,0,0,1
02/03/2022,368,-7,0,0,0
03/03/2022,361,-3,0,0,0
04/03/2022,358,-8,0,0,0
05/03/2022,350,0,0,0,0
06/03/2022,350,-11,0,0,0
07/03/2022,339,-8,0,0,0
08/03/2022,331,-13,0,0,0
09/03/2022,318,-3,0,0,0
10/03/2022,315,-8,0,0,0
11/03/2022,307,-10,0,0,0
12/03/2022,297,100,0,0,0
13/03/2022,397,-5,0,0,0
14/03/2022,392,-13,0,0,0
15/03/2022,379,-10,0,0,0
16/03/2022,369,-8,0,0,0
17/03/2022,361,-4,0,0,0
18/03/2022,357,-7,0,0,0
19/03/2022,350,0,0,0,0
20/03/2022,350,-4,0,0,0
21/03/2022,346,-7,0,0,0
22/03/2022,339,-6,0,0,0
23/03/2022,333,-11,0,0,0
24/03/2022,322,-9,0,0,0
25/03/2022,313,-6,0,0,0
26/03/2022,307,100,0,0,0
27/03/2022,407,-9,0,0,0
28/03/2022,398,-6,0,0,0
29/03/2022,392,-10,0,0,0
30/03/2022,382,-7,0,0,0
31/03/2022,375,-7,0,0,0
01/04/2022,368,-11,0,0,0
02/04/2022,357,0,0,0,0
03/04/2022,357,-8,0,0,0
04/04/2022,349,-16,0,0,0
05/04/2022,333,-10,0,0,0
06/04/2022,323,-11,0,0,0
07/04/2022,312,-3,0,0,0
08/04/2022,309,-11,0,0,0
09/04/2022,298,100,0,0,0
10/04/2022,398,-6,0,0,0
11/04/2022,392,-42,0,0,3
12/04/2022,350,-13,0,0,0
13/04/2022,337,-10,0,0,0
14/04/2022,327,-4,0,0,0
15/04/2022,323,-17,0,0,0
16/04/2022,306,100,0,0,0
17/04/2022,406,-19,0,0,0
18/04/2022,387,-4,0,0,0
19/04/2022,383,-5,0,0,0
20/04/2022,378,-5,0,0,0
21/04/2022,373,-3,0,0,0
22/04/2022,370,-20,0,0,0
23/04/2022,350,0,0,0,0
24/04/2022,350,-4,0,0,0
25/04/2022,346,-17,0,0,0
26/04/2022,329,-2,0,0,0
27/04/2022,327,-12,0,0,0
28/04/2022,315,-4,0,0,0
29/04/2022,311,-21,0,0,2
30/04/2022,290,100,0,0,0
01/05/2022,390,-5,0,0,0
02/05/2022,385,-2,0,0,0
03/05/2022,383,-4,0,0,0
04/05/2022,379,-4,0,0,0
05/05/2022,375,-5,0,0,0
06/05/2022,370,-2,0,0,0
07/05/2022,368,0,0,0,0
08/05/2022,368,-2,0,0,0
09/05/2022,366,-2,0,0,0
10/05/2022,364,-5,0,0,0
11/05/2022,359,-5,0,0,0
12/05/2022,354,-6,0,0,0
13/05/2022,348,-5,0,0,0
14/05/2022,343,100,0,0,0
15/05/2022,443,-7,0,0,0
16/05/2022,436,-8,0,0,0
17/05/2022,428,-8,0,0,0
18/05/2022,420,-5,0,0,0
19/05/2022,415,-8,0,0,0
20/05/2022,407,-6,0,0,0
21/05/2022,401,0,0,0,0
22/05/2022,401,-3,0,0,0
23/05/2022,398,-2,0,0,0
24/05/2022,396,-32,0,0,0
25/05/2022,364,-3,0,0,0
26/05/2022,361,-2,0,0,0
27/05/2022,359,-2,0,0,0
28/05/2022,357,100,0,0,0
29/05/2022,457,-6,0,0,0
30/05/2022,451,-3,0,0,0
31/05/2022,448,-3,0,0,0
01/06/2022,445,-3,0,0,0
02/06/2022,442,-10,0,0,0
03/06/2022,432,-4,0,0,0
04/06/2022,428,0,0,0,0
05/06/2022,428,-7,0,0,0
06/06/2022,421,-8,0,0,0
07/06/2022,413,-3,0,0,0
08/06/2022,410,-8,0,0,0
09/06/2022,402,-8,0,0,0
10/06/2022,394,-7,0,0,0
11/06/2022,387,0,0,0,0
12/06/2022,387,-4,0,0,0
13/06/2022,383,-11,0,0,0
14/06/2022,372,-3,0,0,0
15/06/2022,369,-7,0,0,0
16/06/2022,362,-6,0,0,0
17/06/2022,356,-34,0,0,2
18/06/2022,322,100,0,0,0
19/06/2022,422,-9,0,0,0
20/06/2022,413,-8,0,0,0
21/06/2022,405,-11,0,0,0
22/06/2022,394,-13,0,0,0
23/06/2022,381,-10,0,0,0
24/06/2022,371,-5,0,0,0
25/06/2022,366,0,0,0,0
26/06/2022,366,-4,0,0,0
27/06/2022,362,-3,0,0,0
28/06/2022,359,-11,0,0,0
29/06/2022,348,-10,0,0,0
30/06/2022,338,-8,0,0,0
01/07/2022,330,-3,0,0,0
02/07/2022,327,100,0,0,0
03/07/2022,427,-8,0,0,0
04/07/2022,419,-2,0,0,0
05/07/2022,417,-2,0,0,0
06/07/2022,415,-3,0,0,0
07/07/2022,412,-20,0,0,0
08/07/2022,392,-20,0,0,0
09/07/2022,372,100,0,0,0
10/07/2022,472,-21,0,0,0
11/07/2022,451,-1,1,0,0
12/07/2022,450,-21,0,0,0
13/07/2022,429,-20,0,0,0
14/07/2022,409,-13,0,0,0
15/07/2022,396,-10,0,0,0
16/07/2022,386,100,0,0,0
17/07/2022,486,-11,0,0,0
18/07/2022,475,-10,0,0,0
19/07/2022,465,-11,0,0,0
20/07/2022,454,-21,0,0,0
21/07/2022,433,-21,0,0,0
22/07/2022,412,-17,0,0,0
23/07/2022,395,0,0,0,0
24/07/2022,395,-12,0,0,0
25/07/2022,383,-8,0,0,0
26/07/2022,375,-21,0,0,0
27/07/2022,354,-9,0,0,0
28/07/2022,345,-3,0,0,0
29/07/2022,342,-15,0,0,0
30/07/2022,327,100,0,0,0
31/07/2022,427,-17,0,0,0
01/08/2022,410,-26,0,0,0
02/08/2022,384,-9,0,0,0
03/08/2022,375,-15,0,0,0
04/08/2022,360,-11,0,0,0
05/08/2022,349,-15,0,0,0
06/08/2022,334,100,0,0,0
07/08/2022,434,-27,0,0,0
08/08/2022,407,-9,0,0,0
09/08/2022,398,-19,0,0,0
10/08/2022,379,-19,0,0,0
11/08/2022,360,-8,0,0,0
12/08/2022,352,-60,0,0,3
13/08/2022,292,100,0,0,0
14/08/2022,392,-13,0,0,0
15/08/2022,379,-19,0,0,0
16/08/2022,360,-17,0,0,0
17/08/2022,343,-16,0,0,0
18/08/2022,327,-7,0,0,0
19/08/2022,320,-12,0,0,0
20/08/2022,308,100,0,0,0
21/08/2022,408,-16,0,0,0
22/08/2022,392,-14,0,0,0
23/08/2022,378,-15,0,0,0
24/08/2022,363,-13,0,0,0
25/08/2022,350,-21,0,0,0
26/08/2022,329,-23,0,0,0
27/08/2022,306,100,0,0,0
28/08/2022,406,-19,0,0,0
29/08/2022,387,-14,0,0,0
30/08/2022,373,-25,0,0,0
31/08/2022,348,-18,0,0,0
01/09/2022,330,-9,0,0,0
02/09/2022,321,-8,0,0,0
03/09/2022,313,100,0,0,0
04/09/2022,413,-5,0,0,0
05/09/2022,408,-12,0,0,0
06/09/2022,396,-21,0,0,0
07/09/2022,375,-10,0,0,0
08/09/2022,365,-11,0,0,0
09/09/2022,354,-14,0,0,0
10/09/2022,340,100,0,0,0
11/09/2022,440,-14,0,0,0
12/09/2022,426,-4,0,0,0
13/09/2022,422,-3,0,0,0
14/09/2022,419,-2,0,0,0
15/09/2022,417,-20,0,0,0
16/09/2022,397,-16,0,0,0
17/09/2022,381,-3,0,3,0
18/09/2022,378,-13,0,0,0
19/09/2022,365,-6,0,0,0
20/09/2022,359,-10,0,0,0
21/09/2022,349,-21,0,0,0
22/09/2022,328,-5,0,0,0
23/09/2022,323,-3,0,0,0
24/09/2022,320,100,0,0,0
25/09/2022,420,-20,0,0,0
26/09/2022,400,-17,0,0,0
27/09/2022,383,-20,0,0,0
28/09/2022,363,-12,0,0,0
29/09/2022,351,-9,0,0,0
30/09/2022,342,-2,0,0,0
01/10/2022,340,100,0,0,0
02/10/2022,440,-11,0,0,0
03/10/2022,429,-16,0,0,0
04/10/2022,413,-4,0,0,0
05/10/2022,409,-19,0,0,0
06/10/2022,390,-6,0,0,0
07/10/2022,384,-9,0,0,0
08/10/2022,375,0,0,0,0
09/10/2022,375,-12,0,0,0
10/10/2022,363,-21,0,0,0
11/10/2022,342,-5,0,0,0
12/10/2022,337,-5,0,0,0
13/10/2022,332,-2,0,0,0
14/10/2022,330,-7,0,0,0
15/10/2022,323,100,0,0,0
16/10/2022,423,-4,0,0,0
17/10/2022,419,-7,0,0,0
18/10/2022,412,-9,0,0,0
19/10/2022,403,-20,0,0,0
20/10/2022,383,-6,0,0,0
21/10/2022,377,-8,0,0,0
22/10/2022,369,100,0,0,0
23/10/2022,469,-16,0,0,0
24/10/2022,453,-6,0,0,0
25/10/2022,447,-8,0,0,0
26/10/2022,439,-16,0,0,0
27/10/2022,423,-3,0,0,0
28/10/2022,420,-25,0,0,0
29/10/2022,395,100,0,0,0
30/10/2022,495,-48,3,0,0
31/10/2022,447,-7,0,0,0
01/11/2022,440,-18,0,0,0
02/11/2022,422,-31,0,0,0
03/11/2022,391,-23,0,0,0
04/11/2022,368,-15,0,0,0
05/11/2022,353,100,0,0,0
06/11/2022,453,-1,0,0,0
07/11/2022,452,-27,0,0,0
08/11/2022,425,-14,0,0,0
09/11/2022,411,-31,0,0,0
10/11/2022,380,-30,0,0,0
11/11/2022,350,-19,0,0,0
12/11/2022,331,100,0,0,0
13/11/2022,431,-18,0,0,0
14/11/2022,413,-23,0,0,0
15/11/2022,390,-53,0,0,2
16/11/2022,337,-21,0,0,0
17/11/2022,316,-27,0,0,0
18/11/2022,289,-18,0,0,0
19/11/2022,271,100,0,0,0
20/11/2022,371,-29,0,0,0
21/11/2022,342,-29,0,0,0
22/11/2022,313,-21,0,0,0
23/11/2022,292,-29,0,0,0
24/11/2022,263,-24,0,0,0
25/11/2022,239,-26,0,0,0
26/11/2022,213,200,0,0,0
27/11/2022,413,-30,0,0,0
28/11/2022,383,-15,0,0,0
29/11/2022,368,-33,0,0,0
30/11/2022,335,-15,0,0,0
01/12/2022,320,-18,0,0,0
02/12/2022,302,-20,0,0,0
03/12/2022,282,100,0,0,0
04/12/2022,382,-35,0,0,0
05/12/2022,347,-21,0,0,0
06/12/2022,326,-19,0,0,0
07/12/2022,307,-52,0,0,3
08/12/2022,255,-36,0,0,0
09/12/2022,219,-16,0,0,0
10/12/2022,203,200,0,0,0
11/12/2022,403,-18,0,0,0
12/12/2022,385,-20,0,0,0
13/12/2022,365,-24,0,0,0
14/12/2022,341,-32,0,0,0
15/12/2022,309,-19,0,0,0
16/12/2022,290,-35,0,0,0
17/12/2022,255,200,0,0,0
18/12/2022,455,-22,0,0,0
19/12/2022,433,-36,0,0,0
20/12/2022,397,-17,0,0,0
21/12/2022,380,-36,0,0,0
22/12/2022,344,-33,0,0,0
23/12/2022,311,-25,0,0,0
24/12/2022,286,150,0,0,0
25/12/2022,436,0,0,0,0
26/12/2022,436,-24,0,0,0
27/12/2022,412,-31,0,0,0
28/12/2022,381,-34,0,0,0
29/12/2022,347,-1,0,0,0
30/12/2022,346,-26,0,0,0
31/12/2022,320,150,0,0,0
